Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745064877
Base Time Fractional,.776995740
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.525283732917e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000114030,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:37,.776995740
2,-0.001750551280566,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099933823,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:37,.946403720
3,-0.003483519656584,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199941805,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:38,.115823180
4,-0.005223075859249,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299848471,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:38,.285243860
5,-0.006957831326872,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399878227,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:38,.454659100
6,-0.008702327497303,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499895104,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:38,.624067920
7,-0.01044819690287,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599927371,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:38,.793475660
8,-0.01217938307673,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699961383,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:38,.962871780
9,-0.01391317415982,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799992995,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:39,.132293460
10,-0.01565314084291,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899867518,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:39,.301682820
11,-0.01738926209509,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999915719,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:39,.471089340
12,-0.01912855170667,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099935980,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:39,.640516040
13,-0.02086507715285,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199980397,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:39,.809906420
14,-0.02260861545801,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300021104,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:39,.979317480
15,-0.02434075810015,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399866160,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:40,.148725660
16,-0.0260827858001,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499904174,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:40,.318127740
17,-0.0278188996017,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599937241,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:40,.487529080
18,-0.02956161648035,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699979475,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:40,.656946800
19,-0.03129691258073,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001800004975,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:40,.826339200
20,-0.03303743898869,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900052303,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:40,.995750600
21,-0.03477286919951,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999899978,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:41,.165153440
22,-0.03651501610875,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002099929261,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:41,.334560380
23,-0.03825279697776,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002199991286,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:41,.503956780
24,-0.03999247774482,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002299990883,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:41,.673352280
25,-0.04173162207007,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002400039230,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:41,.842742100
26,-0.043471314013,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002500080736,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:42,.012153400
27,-0.0452082529664,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002599933650,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:42,.181561800
28,-0.04694724455476,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002699944307,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:42,.350975460
29,-0.04868748784065,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002799994254,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:42,.520404440
30,-0.05042553693056,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900027321,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:42,.689802980
31,-0.05216670781374,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003000050201,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:42,.859219280
32,-0.05390323325992,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003099941241,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:43,.028633620
33,-0.0556422509253,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003199957137,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:43,.198036560
34,-0.05738206580281,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003299970704,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:43,.367444960
35,-0.05912025645375,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003400007845,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:43,.536856220
36,-0.06085979938507,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003500031016,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:43,.706258160
37,-0.06259920448065,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003600044292,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:43,.875681160
38,-0.06433588266373,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003699914087,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:44,.045078080
39,-0.06607460975647,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003799940168,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:44,.214485540
40,-0.06781511008739,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003899981384,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:44,.383889580
41,-0.06955453008413,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004000000772,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:44,.553296420
42,-0.07129527628422,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004100036167,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:44,.722701100
43,-0.07303088158369,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004199891409,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:44,.892095920
44,-0.07477097213268,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004299923021,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:45,.061496300
45,-0.07650911808014,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004399988684,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:45,.230916820
46,-0.07824964076281,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004499978386,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:45,.400300900
47,-0.07998892664909,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004600022803,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:45,.569712980
48,-0.08172941952944,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004700056161,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:45,.739117800
49,-0.08346540480852,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004799925082,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:45,.908518040
50,-0.08520668745041,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004899913329,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:46,.077935460
51,-0.08694489300251,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004999947851,Amp DC,.001,T,4W,F,F,04/19/2025,12:14:46,.247330700
