Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745066504
Base Time Fractional,.182070280
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-2.184385812143e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000114733,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:44,.182070280
2,0.001739854109474,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099928566,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:44,.351487960
3,0.003462293185294,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199937622,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:44,.520907760
4,0.005219184327871,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299846743,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:44,.690305000
5,0.006938459351659,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399871496,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:44,.859713220
6,0.008698103018105,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499892776,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:45,.029125440
7,0.0104242451489,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599926752,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:45,.198536620
8,0.0121825132519,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699959637,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:45,.367941900
9,0.0139195015654,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799990303,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:45,.537362800
10,0.0156482513994,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899865045,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:45,.706778160
11,0.01740335859358,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999913173,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:45,.876186180
12,0.01912387087941,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099928268,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:46,.045618560
13,0.02088432759047,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199973340,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:46,.215030600
14,0.02260607667267,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300012809,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:46,.384439580
15,0.0243639331311,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399860630,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:46,.553856220
16,0.02609323523939,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499899809,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:46,.723256440
17,0.02783954702318,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599934621,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:46,.892677980
18,0.02957843616605,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699976856,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:47,.062081180
19,0.03130761533976,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001799995371,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:47,.231499400
20,0.03306313976645,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900045900,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:47,.400918940
21,0.03477678075433,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999891683,Amp DC,.001,T,4W,F,F,04/19/2025,12:41:47,.570309380
