Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745065497
Base Time Fractional,.016625460
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
35,0.0001125431299442,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003400004061,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:02,.776249460
36,0.0001269563072128,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003500025487,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:02,.945658340
37,0.0001216028031195,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003600036434,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:03,.115066400
38,0.0001350552338408,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003699911176,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:03,.284469640
39,0.0001280544529436,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003799932310,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:03,.453877560
40,0.0001421931519872,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003899972362,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:03,.623297000
41,0.000137114097015,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003999991750,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:03,.792709460
42,0.000149742802023,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004100032093,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:03,.962135080
43,0.0001431538694305,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004199882096,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:04,.131563320
44,0.0001577043585712,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004299913126,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:04,.300995020
45,0.0001516644406365,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004399979662,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:04,.470414880
46,0.0001651168131502,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004499965580,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:04,.639831660
47,0.0001597632508492,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004600008251,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:04,.809245120
48,0.0001729410869302,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004700046557,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:04,.978647760
49,0.0001658030232647,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004799913440,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:05,.148068960
50,0.0001810399844544,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004899905762,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:05,.317490920
51,0.0001754117693054,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004999935627,Amp DC,.001,T,4W,F,F,04/19/2025,12:25:05,.486899460
