Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745064725
Base Time Fractional,.991325360
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-2.293971192557e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000114029,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:05,.991325360
2,-9.487208444625e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099927747,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:06,.160751960
3,-1.937068736879e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199941624,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:06,.330169160
4,-1.127169525716e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299845215,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:06,.499616460
5,-2.321427018614e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399871606,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:06,.669019080
6,-1.401716144755e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499891576,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:06,.838429180
7,-1.662530121394e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599926425,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:07,.007828260
8,-2.815610787366e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699955854,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:07,.177235660
9,-2.04688985832e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799988120,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:07,.346649060
10,-3.886320337187e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899863444,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:07,.516064440
11,-2.362616942264e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999908661,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:07,.685472660
12,-3.941226168536e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099931178,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:07,.854908460
13,-2.692065754673e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199979524,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:08,.024313660
14,-4.325593909016e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300014701,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:08,.193741040
15,-3.048973303521e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399864123,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:08,.363159980
16,-4.600135434885e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499900245,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:08,.532583020
17,-4.078505298821e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599934476,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:08,.702004360
18,-5.286491068546e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699978893,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:08,.871419160
19,-4.009870463051e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001800005266,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:09,.040840620
20,-5.725752998842e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900048956,Amp DC,.001,T,4W,F,F,04/19/2025,12:12:09,.210251320
