Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745064969
Base Time Fractional,.677859020
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-8.526723831892e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000109142,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:09,.677859020
2,-1.086037082132e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099932286,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:09,.847274140
3,-9.762225090526e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199940860,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:10,.016690120
4,-7.977767381817e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299845997,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:10,.186116320
5,-4.408735549077e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399876917,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:10,.355521320
6,-7.291426300071e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499895177,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:10,.524952520
7,-2.898756065406e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599926170,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:10,.694346680
8,-1.648853503866e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699965240,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:10,.863759960
9,-6.056041456759e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799993068,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:11,.033193800
10,-1.223321305588e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899863226,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:11,.202593020
11,8.494549547322e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999914191,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:11,.371994600
12,-1.168411108665e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099933506,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:11,.541421660
13,-3.859764547087e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199977924,Amp DC,.001,T,4W,F,F,04/19/2025,12:16:11,.710840160
