Wavelength (nm),microAmps (mA)
655.9721,0.40164
655.9722,0.40195
655.9723,0.40211
655.9724,0.40177
655.9725,0.40209
655.9726,0.40179
655.9727,0.40185
655.9728,0.40193
655.9729,0.40217
655.973,0.40205
655.9731,0.40179
655.9732,0.40189
655.9733,0.40179
655.9734,0.40199
655.9735,0.40195
655.9736,0.40175
655.9737,0.40195
655.9738,0.40179
655.9739,0.40195
655.974,0.40191
655.9741,0.40189
655.9742,0.40207
655.9743,0.40197
655.9744,0.40195
655.9745,0.40211
655.9746,0.40211
655.9747,0.40193
655.9748,0.40203
655.9749,0.40185
655.975,0.40215
655.9751,0.40199
655.9752,0.40201
655.9753,0.40213
655.9754,0.40191
655.9755,0.40191
655.9756,0.40183
655.9757,0.40195
655.9758,0.40205
655.9759,0.40225
655.976,0.40197
655.9761,0.40199
655.9762,0.40181
655.9763,0.40175
655.9764,0.40201
655.9765,0.40211
655.9766,0.40187
655.9767,0.40201
655.9768,0.40205
655.9769,0.40209
655.977,0.40223
655.9771,0.40211
655.9772,0.40213
655.9773,0.40187
655.9774,0.40179
655.9775,0.40215
655.9776,0.40221
655.9777,0.40234
655.9778,0.40211
655.9779,0.40223
655.978,0.40195
655.9781,0.40238
655.9782,0.40219
655.9783,0.40227
655.9784,0.40211
655.9785,0.40203
655.9786,0.40209
655.9787,0.40225
655.9788,0.40221
655.9789,0.4023
655.979,0.40211
655.9791,0.40219
655.9792,0.4023
655.9793,0.40181
655.9794,0.40254
655.9795,0.40223
655.9796,0.40217
655.9797,0.4024
655.9798,0.40209
655.9799,0.40189
655.98,0.40221
655.9801,0.40227
655.9802,0.4023
655.9803,0.40213
655.9804,0.40238
655.9805,0.40217
655.9806,0.40242
655.9807,0.40266
655.9808,0.40262
655.9809,0.40246
655.981,0.40215
655.9811,0.40225
655.9812,0.4024
655.9813,0.40274
655.9814,0.40232
655.9815,0.40236
655.9816,0.40227
655.9817,0.40246
655.9818,0.40209
655.9819,0.40234
655.982,0.4026
655.9821,0.40256
655.9822,0.40244
655.9823,0.40248
655.9824,0.40232
655.9825,0.40238
655.9826,0.40246
655.9827,0.40225
655.9828,0.40266
655.9829,0.40234
655.983,0.40211
655.9831,0.40264
655.9832,0.40264
655.9833,0.4028
655.9834,0.40262
655.9835,0.40246
655.9836,0.40234
655.9837,0.40225
655.9838,0.40244
655.9839,0.40276
655.984,0.40254
655.9841,0.40242
655.9842,0.40288
655.9843,0.40236
655.9844,0.40262
655.9845,0.40252
655.9846,0.40272
655.9847,0.40246
655.9848,0.4026
655.9849,0.4026
655.985,0.40266
655.9851,0.40244
655.9852,0.4027
655.9853,0.40264
655.9854,0.4024
655.9855,0.40236
655.9856,0.40252
655.9857,0.40286
655.9858,0.4026
655.9859,0.4026
655.986,0.40238
655.9861,0.40272
655.9862,0.40295
655.9863,0.40286
655.9864,0.40264
655.9865,0.40244
655.9866,0.40286
655.9867,0.40301
655.9868,0.40268
655.9869,0.40276
655.987,0.40291
655.9871,0.4028
655.9872,0.40258
655.9873,0.40291
655.9874,0.40325
655.9875,0.40254
655.9876,0.40262
655.9877,0.4027
655.9878,0.40246
655.9879,0.40321
655.988,0.40258
655.9881,0.40295
655.9882,0.40272
655.9883,0.40278
655.9884,0.40252
655.9885,0.40254
655.9886,0.40274
655.9887,0.40303
655.9888,0.40291
655.9889,0.40284
655.989,0.40299
655.9891,0.40309
655.9892,0.40286
655.9893,0.40319
655.9894,0.40278
655.9895,0.40262
655.9896,0.40276
655.9897,0.40244
655.9898,0.4028
655.9899,0.40286
655.99,0.40315
655.9901,0.40278
655.9902,0.40282
655.9903,0.40303
655.9904,0.40291
655.9905,0.4028
655.9906,0.40274
655.9907,0.40244
655.9908,0.40284
655.9909,0.40325
655.991,0.40268
655.9911,0.40293
655.9912,0.40305
655.9913,0.40309
655.9914,0.40232
655.9915,0.40309
655.9916,0.40278
655.9917,0.40313
655.9918,0.4028
655.9919,0.40297
655.992,0.40297
655.9921,0.40331
655.9922,0.4027
655.9923,0.40276
655.9924,0.4026
655.9925,0.40288
655.9926,0.4028
655.9927,0.40288
655.9928,0.40284
655.9929,0.4028
655.993,0.40331
655.9931,0.40276
655.9932,0.40299
655.9933,0.40284
655.9934,0.40282
655.9935,0.40264
655.9936,0.4026
655.9937,0.40313
655.9938,0.40311
655.9939,0.40307
655.994,0.40288
655.9941,0.40301
655.9942,0.40268
655.9943,0.40244
655.9944,0.40317
655.9945,0.40258
655.9946,0.40278
655.9947,0.40303
655.9948,0.40288
655.9949,0.4027
655.995,0.40311
655.9951,0.40278
655.9952,0.40264
655.9953,0.4028
655.9954,0.40252
655.9955,0.40268
655.9956,0.40264
655.9957,0.40276
655.9958,0.40311
655.9959,0.40254
655.996,0.40282
655.9961,0.40268
655.9962,0.40321
655.9963,0.40278
655.9964,0.4027
655.9965,0.40268
655.9966,0.4027
655.9967,0.40272
655.9968,0.40325
655.9969,0.40268
655.997,0.40258
655.9971,0.40256
655.9972,0.40288
655.9973,0.4027
655.9974,0.40291
655.9975,0.4027
655.9976,0.4025
655.9977,0.40299
655.9978,0.4027
655.9979,0.40286
655.998,0.40297
655.9981,0.40293
655.9982,0.40301
655.9983,0.40254
