wavelength (nm),microAmps (mA)
433.7972,0.40122
433.7973,0.40121
433.7974,0.40115
433.7975,0.40117
433.7976,0.40118
433.7977,0.40118
433.7978,0.40118
433.7979,0.40114
433.798,0.40124
433.7981,0.40113
433.7982,0.40125
433.7983,0.4012
433.7984,0.40126
433.7985,0.4012
433.7986,0.40124
433.7987,0.4011
433.7988,0.40115
433.7989,0.40111
433.799,0.40121
433.7991,0.40113
433.7992,0.40121
433.7993,0.40114
433.7994,0.40117
433.7995,0.40125
433.7996,0.40119
433.7997,0.40123
433.7998,0.40119
433.7999,0.40117
433.8,0.40114
433.8001,0.40114
433.8002,0.40116
433.8003,0.40115
433.8004,0.40111
433.8005,0.40117
433.8006,0.40118
433.8007,0.40118
433.8008,0.40112
433.8009,0.4012
433.801,0.40115
433.8011,0.40111
433.8012,0.40124
433.8013,0.4012
433.8014,0.40114
433.8015,0.40112
433.8016,0.40123
433.8017,0.40116
433.8018,0.40118
433.8019,0.40111
433.802,0.40114
433.8021,0.40114
433.8022,0.40112
433.8023,0.40118
433.8024,0.40117
433.8025,0.40116
433.8026,0.40104
433.8027,0.40106
433.8028,0.40117
433.8029,0.40113
433.803,0.40117
433.8031,0.40108
433.8032,0.40116
433.8033,0.40115
433.8034,0.40114
433.8035,0.40108
433.8036,0.40116
433.8037,0.40114
433.8038,0.4011
433.8039,0.40114
433.804,0.40113
433.8041,0.40109
433.8042,0.40112
433.8043,0.40112
433.8044,0.40111
433.8045,0.40119
433.8046,0.40114
433.8047,0.40104
433.8048,0.40116
433.8049,0.40111
433.805,0.40122
433.8051,0.40108
433.8052,0.40111
433.8053,0.4011
433.8054,0.40113
433.8055,0.40115
433.8056,0.40114
433.8057,0.40111
433.8058,0.4011
433.8059,0.40101
433.806,0.40113
433.8061,0.40113
433.8062,0.40107
433.8063,0.40112
433.8064,0.40113
433.8065,0.40105
433.8066,0.40108
433.8067,0.40103
433.8068,0.40117
433.8069,0.40108
433.807,0.40109
433.8071,0.40113
433.8072,0.40114
433.8073,0.40106
433.8074,0.40113
433.8075,0.40102
433.8076,0.40111
433.8077,0.40104
433.8078,0.4011
433.8079,0.40109
433.808,0.4011
433.8081,0.40107
433.8082,0.40109
433.8083,0.40103
433.8084,0.40111
433.8085,0.40105
433.8086,0.40108
433.8087,0.40103
433.8088,0.40112
