Wavelength (nm),microAmps (mA)
485.8822,0.40195
485.8823,0.40167
485.8824,0.40211
485.8825,0.40194
485.8826,0.40179
485.8827,0.40195
485.8828,0.40182
485.8829,0.40193
485.883,0.40195
485.8831,0.40201
485.8832,0.40179
485.8833,0.40176
485.8834,0.40212
485.8835,0.40194
485.8836,0.40159
485.8837,0.40188
485.8838,0.40172
485.8839,0.40165
485.884,0.40187
485.8841,0.40199
485.8842,0.40164
485.8843,0.40178
485.8844,0.40166
485.8845,0.40176
485.8846,0.40182
485.8847,0.4016
485.8848,0.40161
485.8849,0.40166
485.885,0.40193
485.8851,0.40187
485.8852,0.40184
485.8853,0.4017
485.8854,0.40165
485.8855,0.40182
485.8856,0.40173
485.8857,0.40158
485.8858,0.40169
485.8859,0.40148
485.886,0.40165
485.8861,0.40179
485.8862,0.40162
485.8863,0.40208
485.8864,0.40164
485.8865,0.40161
485.8866,0.40164
485.8867,0.40161
485.8868,0.40154
485.8869,0.40181
485.887,0.40149
485.8871,0.40165
485.8872,0.40149
485.8873,0.40179
485.8874,0.40166
485.8875,0.4017
485.8876,0.40164
485.8877,0.40151
485.8878,0.40164
485.8879,0.4016
485.888,0.4017
485.8881,0.40144
485.8882,0.40158
485.8883,0.40147
485.8884,0.40165
485.8885,0.40164
485.8886,0.4015
485.8887,0.40137
485.8888,0.40158
485.8889,0.40155
485.889,0.40148
485.8891,0.40167
485.8892,0.40164
485.8893,0.40139
485.8894,0.40161
485.8895,0.40171
485.8896,0.40151
485.8897,0.40167
485.8898,0.40148
485.8899,0.40151
485.89,0.40155
485.8901,0.40153
485.8902,0.40153
485.8903,0.40154
485.8904,0.40143
485.8905,0.4014
485.8906,0.40166
485.8907,0.40156
485.8908,0.40144
485.8909,0.40156
485.891,0.40149
485.8911,0.40154
485.8912,0.4014
485.8913,0.40148
485.8914,0.4016
485.8915,0.40193
485.8916,0.40153
485.8917,0.40151
485.8918,0.40158
485.8919,0.40147
485.892,0.40149
485.8921,0.40153
485.8922,0.40149
485.8923,0.40144
485.8924,0.4015
485.8925,0.40164
485.8926,0.40142
485.8927,0.40156
485.8928,0.40139
485.8929,0.40148
485.893,0.40137
485.8931,0.40155
485.8932,0.40155
485.8933,0.40149
485.8934,0.40151
485.8935,0.40145
485.8936,0.40144
485.8937,0.40143
485.8938,0.40147
485.8939,0.40156
485.894,0.40137
485.8941,0.40129
485.8942,0.40155
485.8943,0.40171
485.8944,0.40148
485.8945,0.40137
485.8946,0.40145
485.8947,0.4014
485.8948,0.40149
485.8949,0.40154
485.895,0.40148
485.8951,0.40132
485.8952,0.40151
485.8953,0.40123
485.8954,0.40147
485.8955,0.40145
485.8956,0.4014
485.8957,0.40139
485.8958,0.40136
485.8959,0.40136
485.896,0.40147
485.8961,0.40145
485.8962,0.40145
485.8963,0.40142
485.8964,0.40148
485.8965,0.40139
485.8966,0.4014
485.8967,0.40151
485.8968,0.40154
485.8969,0.4014
485.897,0.4014
485.8971,0.40158
485.8972,0.4015
485.8973,0.40143
485.8974,0.40145
485.8975,0.40136
485.8976,0.40137
485.8977,0.40143
485.8978,0.40147
485.8979,0.40134
485.898,0.40143
485.8981,0.40151
485.8982,0.4015
485.8983,0.40148
485.8984,0.40131
485.8985,0.40142
485.8986,0.40142
485.8987,0.40142
485.8988,0.40145
485.8989,0.40137
485.899,0.40148
485.8991,0.40142
485.8992,0.40147
485.8993,0.40148
485.8994,0.40149
485.8995,0.40153
485.8996,0.40149
485.8997,0.40139
485.8998,0.40147
485.8999,0.4015
485.9,0.4015
485.9001,0.40145
485.9002,0.40144
485.9003,0.40153
485.9004,0.40137
485.9005,0.40148
485.9006,0.40161
485.9007,0.40131
485.9008,0.40147
485.9009,0.40139
485.901,0.40154
485.9011,0.40145
485.9012,0.40136
485.9013,0.4016
485.9014,0.40144
485.9015,0.40151
485.9016,0.40136
485.9017,0.40137
485.9018,0.40143
485.9019,0.40136
485.902,0.40136
485.9021,0.40134
485.9022,0.40138
485.9023,0.4014
485.9024,0.40147
485.9025,0.40144
485.9026,0.40153
485.9027,0.4014
485.9028,0.40147
485.9029,0.40162
485.903,0.40147
485.9031,0.40134
485.9032,0.40142
485.9033,0.40155
485.9034,0.40137
485.9035,0.40154
485.9036,0.40154
485.9037,0.40134
485.9038,0.40145
485.9039,0.40137
485.904,0.40126
485.9041,0.40149
485.9042,0.40145
485.9043,0.40149
485.9044,0.40145
485.9045,0.40134
485.9046,0.40142
485.9047,0.4015
485.9048,0.40155
485.9049,0.40136
485.905,0.40132
485.9051,0.40145
485.9052,0.40142
485.9053,0.40145
485.9054,0.40133
485.9055,0.40138
485.9056,0.40147
485.9057,0.4015
485.9058,0.40155
