-3.00E+02,-6.07E-06
-2.95E+02,-5.77E-06
-2.90E+02,-5.49E-06
-2.85E+02,-5.20E-06
-2.80E+02,-4.89E-06
-2.75E+02,-4.55E-06
-2.70E+02,-4.21E-06
-2.65E+02,-3.85E-06
-2.60E+02,-3.47E-06
-2.55E+02,-3.05E-06
-2.50E+02,-2.68E-06
-2.45E+02,-2.12E-06
-2.40E+02,-1.52E-06
-2.35E+02,-2.60E-07
-2.30E+02,1.35E-06
-2.25E+02,3.64E-06
-2.20E+02,6.22E-06
-2.15E+02,9.21E-06
-2.10E+02,1.38E-05
-2.05E+02,1.92E-05
-2.00E+02,2.50E-05
-1.95E+02,3.38E-05
-1.90E+02,4.52E-05
-1.85E+02,5.66E-05
-1.80E+02,7.36E-05
-1.75E+02,9.42E-05
-1.70E+02,1.19E-04
-1.65E+02,1.53E-04
-1.60E+02,1.95E-04
-1.55E+02,2.52E-04
-1.50E+02,3.54E-04
