Time(ms),Angle(rad),Volume,Pressure(kPa),Temperature 1(C),Temperature 2(C)
0.0,1.1704273411567443,37.13055030407233,77.021484375,194.5,45.75
9.0,0.6151262959421421,40.19847975697831,71.56494140625,194.5,45.75
17.0,0.06442719309119693,41.60952971951465,67.95166015625,194.5,45.75
25.0,5.801515339783495,40.73249921472576,66.767578125,194.5,45.75
33.0,5.249282256144665,37.96685610707128,68.3056640625,194.5,45.75
41.0,4.692447230142176,34.55084789061018,73.34716796875,194.5,45.75
50.0,4.134078223351803,31.77451886114535,82.2705078125,194.5,45.75
58.0,3.5772431973493153,30.2101502673721,91.34033203125,194.5,45.75
66.0,3.0158062289831706,29.87532509816868,96.63818359375,194.5,45.75
74.0,2.2166022384947515,31.517629150299207,94.0869140625,194.5,45.75
82.0,2.46357314534434,30.73617870294957,87.04345703125,194.5,45.75
89.0,1.902136176978195,32.86802849507548,80.1220703125,194.5,45.75
98.0,1.4127963056426756,35.622003968661254,73.65234375,194.5,45.75
106.0,0.8513593372765309,39.02174246430048,69.34326171875,194.5,45.75
114.0,0.2945243112740431,41.28505995874807,66.82861328125,194.5,45.75
122.0,6.031612457966341,41.376438898600426,67.07275390625,194.5,45.75
130.0,5.4839813166911675,39.30304227820573,70.7470703125,194.5,45.75
139.0,4.934816194628108,36.020925846964296,77.93701171875,194.5,45.75
147.0,4.374913207049849,32.83805581952623,87.84912109375,194.5,45.75
155.0,3.810408277107933,30.711873873627457,95.10009765625,194.5,45.75
163.0,3.2551072318933305,29.86970595740933,96.11328125,194.5,45.75
171.0,2.6998061866787286,30.22056989640207,90.36376953125,194.5,45.75
180.0,2.1445051414641263,31.79270500734295,82.13623046875,194.5,45.75
188.0,1.5800002115222105,34.61374668637458,75.39794921875,194.5,45.75
196.0,1.0154952815802945,38.07721969240336,70.36865234375,194.5,45.75
203.0,0.4647961787293493,40.79213576801266,67.63427734375,194.5,45.75
208.0,6.2632435569370735,41.62445400025417,66.865234375,194.5,45.75
216.0,5.924233802814347,41.1225535043434,67.58544921875,194.5,45.75
225.0,5.376602661539172,38.713045445130355,71.71142578125,194.5,45.75
