Time(ms),Angle(rad),Volume,Pressure(kPa),Temperature 1(C),Temperature 2(C)
0.0,4.038971414502893,31.417874776748807,84.89501953125,181.75,40.25
7.0,3.528155812136975,30.132145013584044,93.134765625,181.75,40.25
15.0,2.9483110743162024,29.916566953396703,97.66357421875,181.75,40.25
22.0,2.442097414313941,30.79423136702299,94.5263671875,181.75,40.25
27.0,2.078543967585044,32.06269563338946,90.21728515625,181.75,40.25
36.0,1.4864273834611863,35.17208995635574,81.85546875,181.75,40.25
44.0,0.9019807032767571,38.739161465077956,74.8974609375,181.75,40.25
52.0,0.320601984668099,41.22291498696856,70.46630859375,181.75,40.25
60.0,6.02854449639057,41.37036979659554,67.97607421875,181.75,40.25
68.0,5.450233739357683,39.12222778852198,68.427734375,181.75,40.25
76.0,4.944020079355422,36.078190592519185,71.7724609375,181.75,40.25
81.0,4.582000613414411,33.92064254269704,76.2158203125,181.75,40.25
88.0,4.06811704947272,31.523262173696235,84.7119140625,181.75,40.25
93.0,3.7014956411680524,30.450340836921068,90.90087890625,181.75,40.25
100.0,3.198349942741562,29.851222245287623,96.56494140625,181.75,40.25
105.0,2.834796496012665,30.025564390540993,97.4560546875,181.75,40.25
112.0,2.325514874434632,31.142249026158748,93.1591796875,181.75,40.25
117.0,1.9604274469178495,32.588866232445554,88.3251953125,181.75,40.25
125.0,1.4465438829761597,35.41484011220393,81.171875,181.75,40.25
130.0,1.081456455459377,37.67869530891489,76.76513671875,181.75,40.25
137.0,0.5706408530934586,40.38833329989831,72.0166015625,181.75,40.25
142.0,0.21015536794033285,41.45138993959099,69.8193359375,181.75,40.25
149.0,5.990194976693429,41.2885598295185,67.87841796875,181.75,40.25
154.0,5.63431143390396,40.04705924720766,67.890625,182.0,40.25
162.0,5.126563793113813,37.21618679882519,70.185546875,182.0,40.25
167.0,4.763010346384916,34.96875111703112,73.798828125,182.0,40.25
174.0,4.252194744018998,32.268032617984666,81.52587890625,182.0,40.25
179.0,3.887107316502215,30.92496594052355,87.470703125,182.0,40.25
186.0,3.377825694924182,29.951944662692643,94.85595703125,182.0,40.25
191.0,3.0158062289831706,29.87532509816868,97.51708984375,182.0,40.25
198.0,2.5126605305566803,30.61053042565112,95.234375,182.0,40.25
204.0,2.1491070838277833,31.77451886114535,90.83984375,182.0,40.25
211.0,1.6336895390982078,34.302000730866254,83.6865234375,182.0,40.25
216.0,1.2686021115814252,36.51844923102848,78.91357421875,182.0,40.25
223.0,0.7562525284276211,39.526344098178214,73.603515625,182.0,40.25
228.0,0.3957670432744954,41.01636427620393,70.9423828125,182.0,40.25
235.0,6.175806652027592,41.58023223964671,68.427734375,182.0,40.25
240.0,5.815321166874466,40.78143086858186,67.73193359375,182.0,40.25
248.0,5.313709449235861,38.34974047634615,68.95263671875,182.0,40.25
253.0,4.9562919256585065,36.15462162514618,71.6748046875,182.0,40.25
260.0,4.4454763232925885,33.19083575619442,78.14453125,182.0,40.25
265.0,4.0819228765636915,31.574390294822443,84.47998046875,182.0,40.25
272.0,3.5726412549856583,30.20243329062731,92.79296875,182.0,40.5
277.0,3.2090878082567613,29.853773306958217,96.6259765625,182.0,40.5
