Time(ms),Angle(rad),Volume,Pressure(kPa),Temperature 1(C),Temperature 2(C)
0.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
6.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
14.0,4.190835512503572,32.00475072389729,83.25927734375,20.25,21.75
21.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
26.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
34.0,4.190835512503572,32.00475072389729,83.25927734375,20.25,21.75
42.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
50.0,4.190835512503572,32.00475072389729,83.25927734375,20.25,21.75
59.0,4.190835512503572,32.00475072389729,83.25927734375,20.25,21.75
67.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
75.0,4.190835512503572,32.00475072389729,83.25927734375,20.25,21.75
83.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
91.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
100.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
107.0,4.190835512503572,32.00475072389729,83.2470703125,20.25,21.75
